ID,NAME
EVAP,Evaporation of water from evaporation pan
SX02,Maximum soil temperature with unknown cover at 10 cm depth
FRGB,Base of frozen ground layer
WT03,Thunder
WT04,"Ice pellets, sleet, snow pellets, or small hail"
MDWM,Multiday wind movement
WT05,Hail (may include small hail)
WV03,Thunder
WT06,Glaze or rime
DAWM,Number of days included in the multiday wind movement (MDWM)
WT07,"Dust, volcanic ash, blowing dust, blowing sand, or blowing obstruction"
WT08,Smoke or haze
WT09,Blowing or drifting snow
WDF1,Direction of fastest 1-minute wind (degrees)
WDF2,Direction of fastest 2-minute wind (degrees)
WT10,"Tornado, waterspout, or funnel cloud"
WDF5,Direction of fastest 5-second wind (degrees)
WT11,High or damaging winds
PGTM,"Peak gust time (hours and minutes, i.e., HHMM)"
WT12,Blowing spray
WT13,Mist
FRGT,Top of frozen ground layer
WDMV,24-hour wind movement
SN52,Minimum soil temperature with sod cover at 10 cm depth
FMTM,Time of fastest mile or fastest 1-minute wind
WSF2,Fastest 2-minute wind speed
WSF5,Fastest 5-second wind speed
SNOW,Snowfall (mm)
THIC,Thickness of ice on water
TOBS,Temperature at the time of observation (tenths of degrees C)
MDEV,Multiday evaporation total (use with DAEV)
WSF1,Fastest 1-minute wind speed
WSFG,Peak guest wind speed
WT01,"Fog, ice fog, or freezing fog (may include heavy fog)"
WESD,Water equivalent of snow on the ground
WT02,Heavy fog or heaving freezing fog (not always distinguished from fog)
SN02,Minimum soil temperature with unknown cover at 10 cm depth
GAHT,Difference between river and gauge height
PRCP,Precipitation
MXPN,Daily maximum temperature of water in an evaporation pan (tenths of degrees C)
SNWD,Snow depth (mm)
TMAX,Maximum temperature (tenths of degrees C)
FRTH,Thickness of frozen ground layer
SX52,Maximum soil temperature with sod cover at 10 cm depth
WDFG,Direction of peak wind gust (degrees)
WT14,Drizzle
ACSH,Average cloudiness sunrise to sunset from manual observations
WT15,Freezing drizzle
WT16,"Rain (may include freezing rain, drizzle, and freezing drizzle)"
WT17,Freezing rain
WT18,"Snow, snow pellets, snow grains, or ice crystals"
WT19,Unknown source of precipitation
DAEV,Number of days included in the multiday evaporation total (MDEV)
AWND,Average daily wind speed
WT21,Ground fog
WV20,Rain or snow shower
WT22,Ice fog or freezing fog
TMIN,Minimum temperature (tenths of degrees C)
TAVG,Average temperature
PSUN,Daily percent of possible sunshine
MNPN,Daily minimum temperature of water in an evaporation pan (tenths of degrees C)
TSUN,Daily total sunshine (minutes)
WSFM,Fastest mile wind speed
SN12,Minimum soil temperature with grass cover at 10 cm depth
ACMH,Average cloudiness midnight to midnight from manual observations
SX32,Maximum soil temperature with bare ground cover at 10 cm depth
WSFI,Highest instantaneous wind speed
SN32,Minimum soil temperature with bare ground cover at 10 cm depth
SX12,Maximum soil temperature with grass cover at 10 cm depth
WDFI,Direction of highest instantaneous wind (degrees)
WDFM,Fastest mile wind direction (degrees)
WV01,"Fog, ice fog, or freezing fog (may include heavy fog)"
WV07,"Ash, dust, sand, or other blowing obstruction"
DAPR,Number of days included in the multiday precipitation total (MDPR)
MDPR,"Multiday precipitation total (use with DAPR and DWPR, if available)"
MDSF,Multiday snowfall total
DASF,Number of days included in the multiday snow fall total (MDSF)
SX03,Maximum soil temperature with unknown cover at 20 cm depth
SN53,Minimum soil temperature with sod cover at 20 cm depth
SN03,Minimum soil temperature with unknown cover at 20 cm depth
SX53,Maximum soil temperature with sod cover at 20 cm depth
ACMC,Average cloudiness midnight to midnight from 30-second ceilometer data
ACSC,Average cloudiness sunrise to sunset from 30-second ceilometer data
WV18,Snow or ice crystals
SX33,Maximum soil temperature with bare ground cover at 20 cm depth
SN33,Minimum soil temperature with bare ground cover at 20 cm depth
SX01,Maximum soil temperature with unknown cover at 5 cm depth
SN01,Minimum soil temperature with unknown cover at 5 cm depth
WESF,Water equivalent of snowfall
SN51,Minimum soil temperature with sod cover at 5 cm depth
SN35,Minimum soil temperature with bare ground cover at 100 cm depth
SN54,Minimum soil temperature with sod cover at 50 cm depth
SN31,Minimum soil temperature with bare ground cover at 5 cm depth
SX35,Maximum soil temperature with bare ground cover at 100 cm depth
SX54,Maximum soil temperature with sod cover at 50 cm depth
SX31,Maximum soil temperature with bare ground cover at 5 cm depth
SX51,Maximum soil temperature with sod cover at 5 cm depth
SX23,Maximum soil temperature with fallow cover at 20 cm depth
SX22,Maximum soil temperature with fallow cover at 10 cm depth
SX21,Maximum soil temperature with fallow cover at 5 cm depth
SN13,Minimum soil temperature with grass cover at 20 cm depth
SN11,Minimum soil temperature with grass cover at 5 cm depth
SX13,Maximum soil temperature with grass cover at 20 cm depth
SX11,Maximum soil temperature with grass cover at 5 cm depth
SN23,Minimum soil temperature with fallow cover at 20 cm depth
SN21,Minimum soil temperature with fallow cover at 5 cm depth
SN22,Minimum soil temperature with fallow cover at 10 cm depth
SX55,Maximum soil temperature with sod cover at 100 cm depth
SX83,Maximum soil temperature with bare muck cover at 20 cm depth
SN72,Minimum soil temperature with grass muck cover at 10 cm depth
SX72,Maximum soil temperature with grass muck cover at 10 cm depth
SN83,Minimum soil temperature with bare muck cover at 20 cm depth
SN81,Minimum soil temperature with bare muck cover at 5 cm depth
SN82,Minimum soil temperature with bare muck cover at 10 cm depth
SX82,Maximum soil temperature with bare muck cover at 10 cm depth
SX81,Maximum soil temperature with bare muck cover at 5 cm depth
SX17,Maximum soil temperature with grass cover at 180 cm depth
SX15,Maximum soil temperature with grass cover at 100 cm depth
SX36,Maximum soil temperature with bare ground cover at 150 cm depth
SN36,Minimum soil temperature with bare ground cover at 150 cm depth
SN34,Minimum soil temperature with bare ground cover at 50 cm depth
SX34,Maximum soil temperature with bare ground cover at 50 cm depth
SN56,Minimum soil temperature with sod cover at 150 cm depth
SN55,Minimum soil temperature with sod cover at 100 cm depth
SX56,Maximum soil temperature with sod cover at 150 cm depth
SX61,Maximum soil temperature with straw multch cover at 5 cm depth
SN61,Minimum soil temperature with straw multch cover at 5 cm depth
SN57,Minimum soil temperature with sod cover at 180 cm depth
SX57,Maximum soil temperature with sod cover at 180 cm depth


Fires: Table including wildfire data for the period of 1992-2015 compiled from US federal, state, and local reporting systems.
FOD_ID = Global unique identifier.
FPA_ID = Unique identifier that contains information necessary to track back to the original record in the source dataset.
SOURCESYSTEMTYPE = Type of source database or system that the record was drawn from (federal, nonfederal, or interagency).
SOURCESYSTEM = Name of or other identifier for source database or system that the record was drawn from. See Table 1 in Short (2014), or \Supplements\FPAFODsourcelist.pdf, for a list of sources and their identifier.
NWCGREPORTINGAGENCY = Active National Wildlife Coordinating Group (NWCG) Unit Identifier for the agency preparing the fire report (BIA = Bureau of Indian Affairs, BLM = Bureau of Land Management, BOR = Bureau of Reclamation, DOD = Department of Defense, DOE = Department of Energy, FS = Forest Service, FWS = Fish and Wildlife Service, IA = Interagency Organization, NPS = National Park Service, ST/C&L = State, County, or Local Organization, and TRIBE = Tribal Organization).
NWCGREPORTINGUNIT_ID = Active NWCG Unit Identifier for the unit preparing the fire report.
NWCGREPORTINGUNIT_NAME = Active NWCG Unit Name for the unit preparing the fire report.
SOURCEREPORTINGUNIT = Code for the agency unit preparing the fire report, based on code/name in the source dataset.
SOURCEREPORTINGUNIT_NAME = Name of reporting agency unit preparing the fire report, based on code/name in the source dataset.
LOCALFIREREPORT_ID = Number or code that uniquely identifies an incident report for a particular reporting unit and a particular calendar year.
LOCALINCIDENTID = Number or code that uniquely identifies an incident for a particular local fire management organization within a particular calendar year.
FIRE_CODE = Code used within the interagency wildland fire community to track and compile cost information for emergency fire suppression (https://www.firecode.gov/).
FIRE_NAME = Name of the incident, from the fire report (primary) or ICS-209 report (secondary).
ICS209INCIDENT_NUMBER = Incident (event) identifier, from the ICS-209 report.
ICS209NAME = Name of the incident, from the ICS-209 report.
MTBS_ID = Incident identifier, from the MTBS perimeter dataset.
MTBSFIRENAME = Name of the incident, from the MTBS perimeter dataset.
COMPLEX_NAME = Name of the complex under which the fire was ultimately managed, when discernible.
FIRE_YEAR = Calendar year in which the fire was discovered or confirmed to exist.
DISCOVERY_DATE = Date on which the fire was discovered or confirmed to exist.
DISCOVERY_DOY = Day of year on which the fire was discovered or confirmed to exist.
DISCOVERY_TIME = Time of day that the fire was discovered or confirmed to exist.
STATCAUSECODE = Code for the (statistical) cause of the fire.
STATCAUSEDESCR = Description of the (statistical) cause of the fire.
CONT_DATE = Date on which the fire was declared contained or otherwise controlled (mm/dd/yyyy where mm=month, dd=day, and yyyy=year).
CONT_DOY = Day of year on which the fire was declared contained or otherwise controlled.
CONT_TIME = Time of day that the fire was declared contained or otherwise controlled (hhmm where hh=hour, mm=minutes).
FIRE_SIZE = Estimate of acres within the final perimeter of the fire.
FIRESIZECLASS = Code for fire size based on the number of acres within the final fire perimeter expenditures (A=greater than 0 but less than or equal to 0.25 acres, B=0.26-9.9 acres, C=10.0-99.9 acres, D=100-299 acres, E=300 to 999 acres, F=1000 to 4999 acres, and G=5000+ acres).
LATITUDE = Latitude (NAD83) for point location of the fire (decimal degrees).
LONGITUDE = Longitude (NAD83) for point location of the fire (decimal degrees).
OWNER_CODE = Code for primary owner or entity responsible for managing the land at the point of origin of the fire at the time of the incident.
OWNER_DESCR = Name of primary owner or entity responsible for managing the land at the point of origin of the fire at the time of the incident.
STATE = Two-letter alphabetic code for the state in which the fire burned (or originated), based on the nominal designation in the fire report.
COUNTY = County, or equivalent, in which the fire burned (or originated), based on nominal designation in the fire report.
FIPS_CODE = Three-digit code from the Federal Information Process Standards (FIPS) publication 6-4 for representation of counties and equivalent entities.
FIPS_NAME = County name from the FIPS publication 6-4 for representation of counties and equivalent entities.

NWCGUnitIDActive20170109: Look-up table containing all NWCG identifiers for agency units that were active (i.e., valid) as of 9 January 2017, when the list was downloaded from https://www.nifc.blm.gov/unit_id/Publish.html and used as the source of values available to populate the following fields in the Fires table: NWCGREPORTINGAGENCY, NWCGREPORTINGUNITID, and NWCGREPORTINGUNITNAME.
UnitId = NWCG Unit ID.
GeographicArea = Two-letter code for the geographic area in which the unit is located (NA=National, IN=International, AK=Alaska, CA=California, EA=Eastern Area, GB=Great Basin, NR=Northern Rockies, NW=Northwest, RM=Rocky Mountain, SA=Southern Area, and SW=Southwest).
Gacc = Seven or eight-letter code for the Geographic Area Coordination Center in which the unit is located or primarily affiliated with (CAMBCIFC=Canadian Interagency Forest Fire Centre, USAKCC=Alaska Interagency Coordination Center, USCAONCC=Northern California Area Coordination Center, USCAOSCC=Southern California Coordination Center, USCORMCC=Rocky Mountain Area Coordination Center, USGASAC=Southern Area Coordination Center, USIDNIC=National Interagency Coordination Center, USMTNRC=Northern Rockies Coordination Center, USNMSWC=Southwest Area Coordination Center, USORNWC=Northwest Area Coordination Center, USUTGBC=Western Great Basin Coordination Center, USWIEACC=Eastern Area Coordination Center).
WildlandRole = Role of the unit within the wildland fire community.
UnitType = Type of unit (e.g., federal, state, local).
Department = Department (or state/territory) to which the unit belongs (AK=Alaska, AL=Alabama, AR=Arkansas, AZ=Arizona, CA=California, CO=Colorado, CT=Connecticut, DE=Delaware, DHS=Department of Homeland Security, DOC= Department of Commerce, DOD=Department of Defense, DOE=Department of Energy, DOI= Department of Interior, DOL=Department of Labor, FL=Florida, GA=Georgia, IA=Iowa, IA/GC=Non-Departmental Agencies, ID=Idaho, IL=Illinois, IN=Indiana, KS=Kansas, KY=Kentucky, LA=Louisiana, MA=Massachusetts, MD=Maryland, ME=Maine, MI=Michigan, MN=Minnesota, MO=Missouri, MS=Mississippi, MT=Montana, NC=North Carolina, NE=Nebraska, NG=Non-Government, NH=New Hampshire, NJ=New Jersey, NM=New Mexico, NV=Nevada, NY=New York, OH=Ohio, OK=Oklahoma, OR=Oregon, PA=Pennsylvania, PR=Puerto Rico, RI=Rhode Island, SC=South Carolina, SD=South Dakota, ST/L=State or Local Government, TN=Tennessee, Tribe=Tribe, TX=Texas, USDA=Department of Agriculture, UT=Utah, VA=Virginia, VI=U. S. Virgin Islands, VT=Vermont, WA=Washington, WI=Wisconsin, WV=West Virginia, WY=Wyoming).
Agency = Agency or bureau to which the unit belongs (AG=Air Guard, ANC=Alaska Native Corporation, BIA=Bureau of Indian Affairs, BLM=Bureau of Land Management, BOEM=Bureau of Ocean Energy Management, BOR=Bureau of Reclamation, BSEE=Bureau of Safety and Environmental Enforcement, C&L=County & Local, CDF=California Department of Forestry & Fire Protection, DC=Department of Corrections, DFE=Division of Forest Environment, DFF=Division of Forestry Fire & State Lands, DFL=Division of Forests and Land, DFR=Division of Forest Resources, DL=Department of Lands, DNR=Department of Natural Resources, DNRC=Department of Natural Resources and Conservation, DNRF=Department of Natural Resources Forest Service, DOA=Department of Agriculture, DOC=Department of Conservation, DOE=Department of Energy, DOF=Department of Forestry, DVF=Division of Forestry, DWF=Division of Wildland Fire, EPA=Environmental Protection Agency, FC=Forestry Commission, FEMA=Federal Emergency Management Agency, FFC=Bureau of Forest Fire Control, FFP=Forest Fire Protection, FFS=Forest Fire Service, FR=Forest Rangers, FS=Forest Service, FWS=Fish & Wildlife Service, HQ=Headquarters, JC=Job Corps, NBC=National Business Center, NG=National Guard, NNSA=National Nuclear Security Administration, NPS=National Park Service, NWS=National Weather Service, OES=Office of Emergency Services, PRI=Private, SF=State Forestry, SFS=State Forest Service, SP=State Parks, TNC=The Nature Conservancy, USA=United States Army, USACE=United States Army Corps of Engineers, USAF=United States Air Force, USGS=United States Geological Survey, USN=United States Navy).
Parent = Agency subgroup to which the unit belongs (A concatenation of State and Unit from this report - https://www.nifc.blm.gov/unit_id/publish/UnitIdReport.rtf).
Country = Country in which the unit is located (e.g. US = United States).
State = Two-letter code for the state in which the unit is located (or primarily affiliated).
Code = Unit code (follows state code to create UnitId).
Name = Unit name.